gene_symbol	hgnc_id	entrez_id	count
ACSM2A	HGNC:32017	Entrez:123876	138
ACSM2B	HGNC:30931	Entrez:348158	74
ACSM3	HGNC:10522	Entrez:6296	57
ACSM4	HGNC:32016	Entrez:341392	52
ACSM5	HGNC:26060	Entrez:54988	61
ACSM5P1	HGNC:51295	Entrez:100421779	0
ACSM6	HGNC:31665	Entrez:142827	0
ACSS1	HGNC:16091	Entrez:84532	53
ACSS2	HGNC:15814	Entrez:55902	116
ACSS3	HGNC:24723	Entrez:79611	0
ACTA1	HGNC:129	Entrez:58	0
ACTA2	HGNC:130	Entrez:59	0
ACTA2-AS1	HGNC:45169	Entrez:100132116	0
ACTB	HGNC:132	Entrez:60	0
ACTBL2	HGNC:17780	Entrez:345651	76
ACTBP1	HGNC:134	Entrez:643309	0
ACTBP10	HGNC:31819	Entrez:446207	0
ACTBP11	HGNC:33971	Entrez:644220	0
ACTBP12	HGNC:150	Entrez:100462767	0
ACTBP14	HGNC:45086	Entrez:389976	0
ACTBP15	HGNC:55065	Entrez:391334	0
ACTBP16	HGNC:56590	Entrez:100132223	0
ACTBP2	HGNC:135	Entrez:62	0
ACTBP3	HGNC:136	Entrez:63	0
ACTBP4	HGNC:137	Entrez:64	0
ACTBP6	HGNC:139	Entrez:66	0
ACTBP7	HGNC:140	Entrez:67	0
ACTBP8	HGNC:141	Entrez:68	0
ACTBP9	HGNC:142	Entrez:69	0
ACTC1	HGNC:143	Entrez:70	0
ACTE1P	HGNC:51491	Entrez:399923	0
ACTG1	HGNC:144	Entrez:71	0
ACTG1P1	HGNC:146	Entrez:73	0
ACTG1P10	HGNC:155	Entrez:83	0
ACTG1P11	HGNC:37651	Entrez:414754	0
ACTG1P12	HGNC:44496	Entrez:100418921	0
ACTG1P13	HGNC:49058	Entrez:100418920	0
ACTG1P14	HGNC:49751	Entrez:100418910	0
ACTG1P15	HGNC:51495	Entrez:100418951	0
ACTG1P16	HGNC:51496	Entrez:100418960	0
ACTG1P17	HGNC:51497	Entrez:283693	0
ACTG1P18	HGNC:51498	Entrez:100418924	0
ACTG1P19	HGNC:51499	Entrez:644160	0
ACTG1P2	HGNC:147	Entrez:74	0
ACTG1P20	HGNC:51500	Entrez:644961	0
ACTG1P21	HGNC:51501	Entrez:100131291	0
ACTG1P22	HGNC:51502	Entrez:100131953	0
ACTG1P23	HGNC:51503	Entrez:442097	0
ACTG1P24	HGNC:49661	Entrez:441783	0
ACTG1P25	HGNC:54872	Entrez:148709	0
ACTG1P3	HGNC:148	Entrez:75	0
ACTG1P4	HGNC:149	Entrez:648740	0
ACTG1P6	HGNC:151	Entrez:78	0
ACTG1P7	HGNC:152	Entrez:79	0
ACTG1P8	HGNC:153	Entrez:80	0
ACTG1P9	HGNC:154	Entrez:82	0
ACTG2	HGNC:145	Entrez:72	0
ACTL10	HGNC:16127	Entrez:170487	0
ACTL11P	HGNC:44626	Entrez:389120	0
ACTL6A	HGNC:24124	Entrez:86	0
ACTL6B	HGNC:160	Entrez:51412	0
ACTL7A	HGNC:161	Entrez:10881	37
ACTL7B	HGNC:162	Entrez:10880	54
ACTL8	HGNC:24018	Entrez:81569	33
ACTL9	HGNC:28494	Entrez:284382	28
ACTMAP	HGNC:24758	Entrez:284325	0
ACTN1	HGNC:163	Entrez:87	0
ACTN1-DT	HGNC:20131	Entrez:161159	0
ACTN2	HGNC:164	Entrez:88	98
ACTN3	HGNC:165	Entrez:89	114
ACTN4	HGNC:166	Entrez:81	55
ACTN4P1	HGNC:44028	Entrez:344978	0
ACTN4P2	HGNC:44032	Entrez:391026	0
ACTP1	HGNC:51621	Entrez:106480335	0
ACTR10	HGNC:17372	Entrez:55860	0
ACTR1A	HGNC:167	Entrez:10121	0
ACTR1AP1	HGNC:54703	Entrez:100287074	0
ACTR1B	HGNC:168	Entrez:10120	31
ACTR2	HGNC:169	Entrez:10097	0
ACTR3	HGNC:170	Entrez:10096	8
ACTR3-AS1	HGNC:53965	Entrez:101060091	0
ACTR3B	HGNC:17256	Entrez:57180	15
ACTR3BP1	HGNC:37724	Entrez:643050	0
ACTR3BP2	HGNC:38677	Entrez:440888	0
ACTR3BP3	HGNC:38678	Entrez:647156	0
ACTR3BP4	HGNC:38681	Entrez:777774	0
ACTR3BP5	HGNC:38682	Entrez:399746	0
ACTR3BP6	HGNC:38683	Entrez:644773	0
ACTR3BP7	HGNC:54971	Entrez:100289004	0
ACTR3C	HGNC:37282	Entrez:653857	8
ACTR3P1	HGNC:31820	Entrez:100288580	0
